timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
122880,542.0346303135553,1.0,5.334717,100.0,11.684295,-2.0,0.80700684,2.0,0.6582817,0.7177853,0.028838646,0.030871611,-0.0020329636,1.6583419,0.0003662109375,0.0419921875
131072,547.4407788044866,1.0,5.6035156,100.0,12.956226,-2.0,0.83569336,2.0,0.6197871,0.7483672,0.033465806,0.028718997,0.004746812,1.5740585,0.0003662109375,0.0419921875
139264,549.9040856264156,1.0,5.9191895,100.0,14.222126,-2.0,0.86572266,2.0,0.57857823,0.7753118,0.029772878,0.023736017,0.0060368595,1.5450463,0.000244140625,0.0433349609375
147456,549.9810157144666,1.0,6.175049,100.0,15.316562,-2.0,0.88635254,2.0,0.53914106,0.793723,0.023844048,0.017517257,0.006326791,1.4920764,0.0001220703125,0.0421142578125
155648,554.2348830478066,1.0,6.475586,100.0,16.430182,-2.0,0.9046631,2.0,0.5051664,0.8077218,0.02643828,0.01738755,0.009050729,1.5006309,0.0001220703125,0.0419921875
163840,548.3491185404329,1.0,6.746704,100.0,17.44071,-2.0,0.9177246,2.0,0.48318225,0.82083344,0.02825257,0.018660214,0.009592358,1.4943495,0.0001220703125,0.043701171875
172032,539.4148175647048,1.0,6.9016113,100.0,17.959293,-2.0,0.92663574,2.0,0.45833594,0.82776594,0.026697665,0.017550342,0.009147322,1.4742725,0.0001220703125,0.0421142578125
180224,539.7503027596547,1.0,7.097168,100.0,18.665909,-2.0,0.93603516,2.0,0.43504927,0.8365964,0.024742238,0.016516676,0.008225563,1.4682713,0.0001220703125,0.041748046875
188416,542.3622621085665,1.0,7.21875,100.0,19.036777,-1.0,0.94055176,2.0,0.42246035,0.842386,0.030879682,0.019518252,0.0113614295,1.4374185,0.01953125,0.041748046875
196608,532.0308939500133,1.0,7.41626,100.0,19.5454,-1.0,0.94506836,2.0,0.40794128,0.8462438,0.021755815,0.016617103,0.0051387134,1.4522482,0.0162353515625,0.041015625
204800,550.4516640564069,1.0,7.3811035,100.0,19.681084,-1.0,0.953125,2.0,0.3968258,0.85558283,0.022748012,0.016763883,0.0059841312,1.4613328,0.013427734375,0.04296875
212992,548.3942081022797,1.0,7.4501953,100.0,19.86664,-1.0,0.9559326,2.0,0.39235428,0.8581513,0.024515092,0.015868735,0.008646357,1.4352665,0.0120849609375,0.0438232421875
221184,554.433431247948,1.0,7.5113525,100.0,19.996592,-1.0,0.95544434,2.0,0.38948852,0.8581383,0.021546649,0.014427262,0.0071193846,1.488652,0.0113525390625,0.043212890625
229376,545.4432515472308,1.0,7.558838,100.0,20.20004,-1.0,0.9571533,2.0,0.37758884,0.85865355,0.023359125,0.015092287,0.008266838,1.4192002,0.00927734375,0.04150390625
237568,545.4027321583296,1.0,7.449951,100.0,20.102804,-1.0,0.95739746,2.0,0.3827538,0.8629791,0.027198397,0.01768263,0.009515765,1.467647,0.0101318359375,0.042724609375
245760,541.4672156833044,1.0,7.5838623,100.0,20.489693,-1.0,0.9572754,2.0,0.3806614,0.86356574,0.022773478,0.013280791,0.009492688,1.3878388,0.0089111328125,0.0430908203125
253952,539.8515080927987,1.0,7.6817627,100.0,20.790867,-1.0,0.9588623,2.0,0.3758351,0.8640267,0.02111901,0.014150607,0.0069684032,1.4417396,0.0084228515625,0.04248046875
262144,544.7143388771069,1.0,7.5351562,100.0,20.57871,-1.0,0.95983887,2.0,0.373334,0.8672432,0.022087611,0.016628752,0.0054588597,1.403377,0.0084228515625,0.0419921875
